"","PRIMARY_KEY","ORGANIZATION_NAME","SUB_BUILDING_NAME","BUILDING_NAME","NUMBER","PRIMARY_THORFARE","ALT_THORFARE","SECONDARY_THORFARE","LOCALITY","TOWNLAND","TOWN","COUNTY","POSTCODE","X_CORDINATE","Y_CORDINATE"
"840791",840791,"","","","14","DRUMACHOSE PARK","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490NZ",267999,422316
"840794",840794,"","","","6","GLENLEA PARK","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT490RR",267706,421777
"840795",840795,"","","","18","BELLS HILL","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DQ",268199,423327
"840798",840798,"","","","21","SCROGGY PARK","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DE",267571,423080
"840804",840804,"","","","50","SCROGGY ROAD","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490NA",267866,422744
"840805",840805,"","","","8","SCROGGY PARK","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DE",267664,423146
"840806",840806,"HAPPY VILLA","","","5","ANDERSON AVENUE","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490TF",268282,422527
"840808",840808,"","","","87","IRISH GREEN STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AA",267198,422822
"840809",840809,"","","","43","ENAGH PARK","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490SA",267885,421937
"840811",840811,"","","","44","CASTLE PARK","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SB",268336,423029
"840812",840812,"","","","10","BALLYCLOSE STREET","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BN",267340,423435
"840813",840813,"","","","22","IRWIN AVENUE","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT499HF",267342,421824
"840814",840814,"","","","45","BENBRADAGH AVENUE","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AP",267348,422439
